Feature_Representation,Accuracy,Balanced_Accuracy,MCC,Macro_F1,TN,FP,FN,TP
Fundamental Score Only (F_t),0.7142857142857143,0.8235294117647058,0.5087470190691683,0.6785714285714286,4,0,6,11
Sentiment Score Only (S_t),0.7142857142857143,0.8235294117647058,0.5087470190691683,0.6785714285714286,4,0,6,11
"Unimodal Concat (F_t, S_t)",0.7142857142857143,0.8235294117647058,0.5087470190691683,0.6785714285714286,4,0,6,11
"+ Concordance Product (F_t, S_t, C_t)",0.8571428571428571,0.9117647058823529,0.6859943405700354,0.81524926686217,4,0,3,14
"+ Information Divergence (F_t, S_t, D_t)",0.8571428571428571,0.9117647058823529,0.6859943405700354,0.81524926686217,4,0,3,14
"Full Proposed Manifold (F_t, S_t, C_t, D_t)",0.9047619047619048,0.9411764705882353,0.7669649888473705,0.86875,4,0,2,15
